"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Age"
"28","Ascot Vale","25 Dalgety Dr",3,"h",940000,"S","Jellis","26/07/2016",5.9,3032,3,2,2,285,172,2011,"Moonee Valley",-37.7778,144.9061,"Western Metropolitan",6567,12
"29","Ascot Vale","7 Dalgety Dr",3,"h",995000,"S","Nelson","26/07/2016",5.9,3032,3,2,1,314,177,2010,"Moonee Valley",-37.7778,144.9042,"Western Metropolitan",6567,13
"30","Ascot Vale","5 Doncaster St",4,"h",1705000,"S","Jellis","30/07/2016",5.9,3032,4,2,4,598,273,2012,"Moonee Valley",-37.7774,144.9104,"Western Metropolitan",6567,11
"31","Ashburton","61 Dent St",4,"h",2650000,"S","Marshall","3/09/2016",11,3147,4,3,2,753,399,2015,"Boroondara",-37.8669,145.0767,"Southern Metropolitan",3052,8
"32","Ashburton","16a Nicholas St",3,"h",1100000,"PI","Marshall","8/10/2016",11,3147,3,3,2,276,178,2004,"Boroondara",-37.8699,145.0778,"Southern Metropolitan",3052,19
"33","Ashburton","115 Ashburn Gr",8,"h",2950000,"S","hockingstuart","10/09/2016",11,3147,9,7,4,1472,618,2009,"Boroondara",-37.8729,145.0788,"Southern Metropolitan",3052,14
"34","Ashburton","6a Glen Rd",3,"h",1662000,"S","Jellis","14/05/2016",11,3147,3,2,2,351,228,2006,"Boroondara",-37.8742,145.07,"Southern Metropolitan",3052,17
"35","Ashburton","29A Yuile St",5,"h",3510000,"S","Jellis","18/03/2017",11,3147,5,5,2,755,444,2015,"Boroondara",-37.8598,145.0796,"Southern Metropolitan",3052,8
"36","Ashburton","15 Comas Gr",5,"h",2752000,"S","Jellis","22/08/2016",11,3147,6,4,2,1075,390,2010,"Boroondara",-37.8714,145.073,"Southern Metropolitan",3052,13
"37","Ashburton","5 Taylor St",4,"h",1860000,"S","Jellis","27/11/2016",11,3147,4,2,3,696,274,2000,"Boroondara",-37.8711,145.0746,"Southern Metropolitan",3052,23
"38","Ashwood","1/53 Winbirra Pde",4,"h",1200000,"SP","Purplebricks","4/03/2017",12.2,3147,4,3,2,372,201,2016,"Monash",-37.8716,145.0999,"Southern Metropolitan",2894,7
"39","Ashwood","4 Scenic Dr",4,"h",1500000,"S","Fletchers","6/08/2016",12.2,3147,2,2,2,621,203,2000,"Monash",-37.8647,145.1023,"Southern Metropolitan",2894,23
"40","Ashwood","16 Scenic Dr",5,"h",1529500,"S","Buxton","17/09/2016",12.2,3147,5,3,2,585,317,2000,"Monash",-37.8637,145.1024,"Southern Metropolitan",2894,23
"41","Avondale Heights","2 Arbor Tce",4,"h",1155000,"S","Nelson","4/06/2016",10.5,3034,3,2,2,569,225,2008,"Moonee Valley",-37.7654,144.8655,"Western Metropolitan",4502,15
"42","Avondale Heights","2 Hillman Ct",4,"h",1100000,"VB","Brad","22/05/2016",10.5,3034,4,3,2,873,395,1992,"Moonee Valley",-37.7609,144.8639,"Western Metropolitan",4502,31
"43","Avondale Heights","1/24 Bordeaux St",2,"h",522500,"S","Nelson","24/09/2016",10.5,3034,2,1,1,220,101,1995,"Moonee Valley",-37.756,144.8641,"Western Metropolitan",4502,28
"44","Balwyn","36 Narrak Rd",4,"h",1800000,"VB","Marshall","3/09/2016",9.7,3103,4,2,2,715,218,1985,"Boroondara",-37.811,145.0958,"Southern Metropolitan",5682,38
"45","Balwyn","112 Belmore Rd",5,"h",2570000,"PI","RT","3/12/2016",9.7,3103,5,3,2,715,420,2009,"Boroondara",-37.8028,145.0768,"Southern Metropolitan",5682,14
"46","Balwyn","27 Bevan St",4,"h",2400000,"VB","RW","3/12/2016",9.7,3103,4,2,2,744,226,1985,"Boroondara",-37.8147,145.0748,"Southern Metropolitan",5682,38
"47","Balwyn","22 Yongala St",5,"h",2250000,"PI","Noel","3/12/2016",9.7,3103,5,3,2,600,356,2006,"Boroondara",-37.8061,145.0801,"Southern Metropolitan",5682,17
"48","Balwyn","40 Metung St",5,"h",2800000,"VB","Marshall","4/06/2016",9.7,3103,5,3,2,678,349,2001,"Boroondara",-37.8048,145.0708,"Southern Metropolitan",5682,22
"49","Balwyn","3 Westminster St",3,"h",2125000,"SP","Jellis","7/05/2016",9.7,3103,3,2,2,699,252,1985,"Boroondara",-37.814,145.0966,"Southern Metropolitan",5682,38
"50","Balwyn","1/18 Belmore Rd",3,"h",905000,"S","Kay","10/12/2016",9.7,3103,3,1,2,281,150,1995,"Boroondara",-37.8013,145.0652,"Southern Metropolitan",5682,28
"51","Balwyn","316 Belmore Rd",4,"h",1750000,"PI","Ascend","10/12/2016",9.7,3103,4,3,2,453,308,2016,"Boroondara",-37.8044,145.1006,"Southern Metropolitan",5682,7
"52","Balwyn","38 Frederick St",4,"h",2730000,"S","RT","15/10/2016",9.7,3103,4,3,2,674,336,1997,"Boroondara",-37.8068,145.0786,"Southern Metropolitan",5682,26
"53","Balwyn","29 Bevan St",4,"h",2188000,"S","Marshall","19/11/2016",9.7,3103,4,2,2,752,253,1981,"Boroondara",-37.8149,145.0747,"Southern Metropolitan",5682,42
"54","Balwyn","112 Belmore Rd",5,"h",3020000,"PI","Jellis","28/05/2016",9.7,3103,5,3,2,715,420,2009,"Boroondara",-37.8028,145.0768,"Southern Metropolitan",5682,14
"55","Balwyn","321a Union Rd",3,"h",1500000,"SP","Noel","28/08/2016",9.7,3103,3,2,2,404,190,2011,"Boroondara",-37.8075,145.1011,"Southern Metropolitan",5682,12
"56","Balwyn North","3 Dumblane St",5,"h",3300000,"PI","hockingstuart","3/12/2016",9.2,3104,5,4,2,760,477,2015,"Boroondara",-37.7907,145.0907,"Southern Metropolitan",7809,8
"57","Balwyn North","43 Sweyn St",3,"h",1265000,"S","hockingstuart","3/12/2016",9.2,3104,3,2,1,347,160,2011,"Boroondara",-37.7947,145.1035,"Southern Metropolitan",7809,12
"58","Balwyn North","325 Belmore Rd",5,"h",3250000,"PI","Jellis","6/08/2016",9.2,3104,3,4,2,886,520,2013,"Boroondara",-37.804,145.0951,"Southern Metropolitan",7809,10
"59","Balwyn North","108 Bulleen Rd",5,"h",1750000,"VB","Jellis","7/11/2016",9.2,3104,5,3,2,705,365,2013,"Boroondara",-37.7851,145.0775,"Southern Metropolitan",7809,10
"60","Balwyn North","5 Carrington St",4,"h",1850000,"VB","Jellis","7/11/2016",9.2,3104,4,2,2,619,254,1990,"Boroondara",-37.8025,145.0843,"Southern Metropolitan",7809,33
"61","Balwyn North","8 Cash St",4,"h",1740000,"VB","Jellis","10/09/2016",9.2,3104,4,2,2,610,275,1993,"Boroondara",-37.7843,145.0891,"Southern Metropolitan",7809,30
"62","Balwyn North","7 Grieve St",4,"h",2575000,"PI","Jellis","10/09/2016",9.2,3104,4,3,2,657,355,2006,"Boroondara",-37.7981,145.0904,"Southern Metropolitan",7809,17
"63","Balwyn North","15 Moody St",4,"h",2910000,"S","Marshall","10/12/2016",9.2,3104,4,3,2,1070,247,1992,"Boroondara",-37.7975,145.0716,"Southern Metropolitan",7809,31
"64","Balwyn North","56a Clifton St",3,"h",1230000,"S","Noel","14/05/2016",9.2,3104,3,3,1,310,188,2012,"Boroondara",-37.7949,145.1014,"Southern Metropolitan",7809,11
"65","Balwyn North","2 Tudor Ct",7,"h",2600000,"PI","Barry","14/05/2016",9.2,3104,5,3,3,637,529,2008,"Boroondara",-37.7898,145.0967,"Southern Metropolitan",7809,15
"66","Balwyn North","17 Stephens St",4,"h",3360000,"S","Assisi","16/04/2016",9.2,3104,4,3,1,904,420,2003,"Boroondara",-37.797,145.086,"Southern Metropolitan",7809,20
"67","Balwyn North","9 Seattle St",4,"h",1675000,"S","Fletchers","18/03/2017",9.2,3104,4,2,2,667,201,1974,"Boroondara",-37.7835,145.0883,"Southern Metropolitan",7809,49
"68","Balwyn North","9 Stephens St",5,"h",4e+06,"PI","Marshall","18/06/2016",9.2,3104,5,5,4,1364,518,2013,"Boroondara",-37.7961,145.0859,"Southern Metropolitan",7809,10
"69","Balwyn North","3/1 Corhampton Rd",2,"h",685000,"SP","Jellis","22/05/2016",9.2,3104,2,1,1,177,85,1975,"Boroondara",-37.7935,145.0679,"Southern Metropolitan",7809,48
"70","Balwyn North","85a Woodville St",3,"h",1335000,"S","Fletchers","22/05/2016",9.2,3104,3,2,2,368,177,2009,"Boroondara",-37.7846,145.0935,"Southern Metropolitan",7809,14
"71","Balwyn North","123 Winfield Rd",5,"h",1560000,"S","RT","27/11/2016",9.2,3104,5,2,3,845,199,1980,"Boroondara",-37.7898,145.1021,"Southern Metropolitan",7809,43
"72","Balwyn North","15 Ellendale St",3,"h",1038000,"S","Christopher","28/05/2016",9.2,3104,3,2,1,207,144,2003,"Boroondara",-37.7893,145.092,"Southern Metropolitan",7809,20
"73","Bentleigh","11A Mortimore St",3,"h",1222500,"S","Ray","4/02/2016",13,3204,3,2,2,299,181,2000,"Glen Eira",-37.9272,145.0406,"Southern Metropolitan",6795,23
"74","Bentleigh","9 Yawla St",4,"h",2255000,"S","hockingstuart","10/12/2016",13,3204,4,3,2,557,353,2008,"Glen Eira",-37.9132,145.0251,"Southern Metropolitan",6795,15
"75","Bentleigh","11 Wilson St",4,"h",2520000,"PI","Buxton","22/08/2016",13,3204,4,4,2,579,361,2012,"Glen Eira",-37.9155,145.0243,"Southern Metropolitan",6795,11
"76","Bentleigh","17 Smith St",6,"h",1900000,"S","hockingstuart","27/11/2016",13,3204,6,3,2,708,275,1988,"Glen Eira",-37.9181,145.044,"Southern Metropolitan",6795,35
"77","Bentleigh","11 Wilson St",4,"h",2620000,"S","Buxton","28/08/2016",13,3204,4,4,2,579,361,2012,"Glen Eira",-37.9155,145.0243,"Southern Metropolitan",6795,11
"78","Bentleigh East","30 Veronica St",2,"h",825000,"S","Buxton","3/09/2016",13.9,3165,2,2,1,176,125,2008,"Glen Eira",-37.9237,145.0763,"Southern Metropolitan",10969,15
"79","Bentleigh East","41 Bradford St",3,"h",845000,"S","Ray","12/11/2016",13.9,3165,3,2,2,295,145,1998,"Glen Eira",-37.9239,145.0781,"Southern Metropolitan",10969,25
"80","Bentleigh East","23 Yarraburn Cl",4,"h",1100000,"S","Hodges","14/05/2016",13.9,3165,4,2,1,274,190,2004,"Glen Eira",-37.9257,145.0735,"Southern Metropolitan",10969,19
"81","Bentleigh East","21 Highview Rd",2,"h",722000,"S","Buxton","16/04/2016",13.9,3165,2,2,1,201,79,2005,"Glen Eira",-37.9293,145.0657,"Southern Metropolitan",10969,18
"82","Bentleigh East","93 Tudor St",3,"h",921000,"S","Buxton","16/04/2016",13.9,3165,3,2,1,291,119,2000,"Glen Eira",-37.919,145.0829,"Southern Metropolitan",10969,23
"83","Bentleigh East","1002 North Rd",3,"h",823000,"S","C21","18/03/2017",13.9,3165,3,2,2,213,143,2003,"Glen Eira",-37.9079,145.0707,"Southern Metropolitan",10969,20
"84","Bentleigh East","2/53 Moylan St",3,"h",835000,"S","Woodards","18/06/2016",13.9,3165,3,1,1,250,105,1980,"Glen Eira",-37.9087,145.0537,"Southern Metropolitan",10969,43
"85","Bentleigh East","10 Boronia St",4,"h",1698888,"S","hockingstuart","22/08/2016",13.9,3165,4,2,2,598,337,2006,"Glen Eira",-37.9138,145.0774,"Southern Metropolitan",10969,17
"86","Bentleigh East","98 Brady Rd",4,"h",1175000,"S","RT","25/02/2017",13.9,3165,4,2,2,620,158,1980,"Glen Eira",-37.9281,145.0669,"Southern Metropolitan",10969,43
"87","Bentleigh East","71 Deakin St",5,"h",1550000,"PI","hockingstuart","27/11/2016",13.9,3165,5,3,2,583,296,2007,"Glen Eira",-37.9143,145.0699,"Southern Metropolitan",10969,16
"88","Bentleigh East","3b Manuka St",3,"h",886000,"S","Ray","28/05/2016",13.9,3165,3,2,1,185,122,2012,"Glen Eira",-37.9159,145.0787,"Southern Metropolitan",10969,11
"89","Bentleigh East","3 Belinda Ct",4,"h",1015000,"S","C21","28/08/2016",13.9,3165,4,2,3,625,198,1997,"Glen Eira",-37.9374,145.0726,"Southern Metropolitan",10969,26
"90","Bentleigh East","4 Wingate St",4,"h",1472500,"S","hockingstuart","28/08/2016",13.9,3165,4,2,2,592,219,2013,"Glen Eira",-37.9351,145.0572,"Southern Metropolitan",10969,10
"91","Bentleigh East","25 Anarth St",2,"h",640000,"PI","hockingstuart","30/07/2016",13.9,3165,2,2,2,298,118,2005,"Glen Eira",-37.908,145.0716,"Southern Metropolitan",10969,18
"92","Braybrook","80 South Rd",4,"h",645000,"SP","Biggin","7/11/2016",10.8,3019,4,2,1,283,154,1990,"Maribyrnong",-37.7908,144.8485,"Western Metropolitan",3589,33
"93","Braybrook","3 Cross St",3,"h",652000,"S","Barry","8/10/2016",10.8,3019,3,2,1,216,145,2010,"Maribyrnong",-37.7865,144.8605,"Western Metropolitan",3589,13
"94","Braybrook","2 Riley Ct",4,"h",850000,"SA","Sweeney","8/10/2016",10.8,3019,4,2,2,606,240,2002,"Maribyrnong",-37.788,144.862,"Western Metropolitan",3589,21
"95","Braybrook","19 Kannan Bvd",4,"h",882000,"S","Village","10/12/2016",10.8,3019,4,2,2,393,216,2008,"Maribyrnong",-37.7763,144.8543,"Western Metropolitan",3589,15
"96","Braybrook","80 South Rd",4,"h",610000,"VB","Biggin","17/09/2016",10.8,3019,4,2,1,283,154,1990,"Maribyrnong",-37.7908,144.8485,"Western Metropolitan",3589,33
"97","Braybrook","25 Errol St",4,"h",550000,"S","Barry","26/07/2016",10.8,3019,4,2,1,288,160,2000,"Maribyrnong",-37.7775,144.855,"Western Metropolitan",3589,23
"98","Braybrook","11/27 Marnoo St",3,"h",495000,"S","Burnham","27/06/2016",10.8,3019,3,1,1,158,138,2005,"Maribyrnong",-37.7889,144.8465,"Western Metropolitan",3589,18
"99","Brighton","4/78 Dendy St",3,"h",1390000,"S","Tiernan's","4/03/2017",11.2,3186,3,1,2,340,137,1975,"Bayside",-37.9205,145.0007,"Southern Metropolitan",10579,48
"100","Brighton","74 Carpenter St",5,"h",2750000,"VB","Buxton","7/05/2016",11.2,3186,4,3,1,509,341,2005,"Bayside",-37.9118,144.9984,"Southern Metropolitan",10579,18
"101","Brighton","15 Hanby St",5,"h",3171000,"S","Biggin","7/05/2016",11.2,3186,4,2,2,710,340,2000,"Bayside",-37.9241,145.0008,"Southern Metropolitan",10579,23
"102","Brighton","2 Campbell St",3,"h",2050000,"PI","hockingstuart","10/12/2016",11.2,3186,3,3,2,398,262,2012,"Bayside",-37.899,144.9901,"Southern Metropolitan",10579,11
"103","Brighton","73 Martin St",4,"h",3320000,"S","Buxton","10/12/2016",11.2,3186,4,3,2,644,364,2000,"Bayside",-37.8964,144.9972,"Southern Metropolitan",10579,23
"104","Brighton","7 Chavasse St",3,"h",1875000,"S","Hodges","13/08/2016",11.2,3186,3,2,2,275,170,1991,"Bayside",-37.9153,144.9924,"Southern Metropolitan",10579,32
"105","Brighton","95 Cochrane St",4,"h",3295888,"S","Hodges","15/10/2016",11.2,3186,4,3,2,565,337,1990,"Bayside",-37.8975,144.9991,"Southern Metropolitan",10579,33
"106","Brighton","22 Champion St",3,"h",2375000,"S","HAR","17/09/2016",11.2,3186,4,2,2,547,302,2000,"Bayside",-37.9271,145.0034,"Southern Metropolitan",10579,23
"107","Brighton","66 Champion St",4,"h",3900000,"S","Nick","22/05/2016",11.2,3186,4,2,2,842,311,1990,"Bayside",-37.9227,145.0043,"Southern Metropolitan",10579,33
"108","Brighton","119 North Rd",4,"h",3050000,"SP","Buxton","25/02/2017",11.2,3186,4,4,2,578,319,1995,"Bayside",-37.8989,145.0008,"Southern Metropolitan",10579,28
"109","Brighton","58 Champion St",4,"h",2640000,"S","Hodges","26/07/2016",11.2,3186,4,2,2,848,246,1975,"Bayside",-37.9234,145.0042,"Southern Metropolitan",10579,48
"110","Brighton","17 Rusden St",4,"h",1500000,"VB","Hodges","30/07/2016",11.2,3186,3,2,1,549,195,1990,"Bayside",-37.8869,144.9982,"Southern Metropolitan",10579,33
"111","Brighton East","133A Centre Rd",4,"h",1310000,"PI","hockingstuart","3/12/2016",10.7,3187,4,3,2,618,213,2008,"Bayside",-37.9162,145.0219,"Southern Metropolitan",6938,15
"112","Brighton East","12 Meyer Ct",4,"h",1825000,"PI","Buxton","4/06/2016",10.7,3187,4,3,2,594,594,1973,"Bayside",-37.9029,145.0118,"Southern Metropolitan",6938,50
"113","Brighton East","80 Marriage Rd",3,"h",1500000,"S","Nick","6/08/2016",10.7,3187,3,2,2,315,228,2000,"Bayside",-37.9199,145.0174,"Southern Metropolitan",6938,23
"114","Brighton East","299 South Rd",3,"h",1590000,"S","Marshall","8/10/2016",10.7,3187,3,3,2,481,244,2012,"Bayside",-37.931,145.0198,"Southern Metropolitan",6938,11
"115","Brighton East","25 Camperdown St",5,"h",2550000,"PI","RT","15/10/2016",10.7,3187,5,3,2,551,346,2016,"Bayside",-37.9176,145.009,"Southern Metropolitan",6938,7
"116","Brighton East","27 Arnold Rd",4,"h",2200000,"PI","Buxton","18/06/2016",10.7,3187,4,2,2,654,286,2000,"Bayside",-37.9292,145.0236,"Southern Metropolitan",6938,23
"117","Brighton East","8 Thomas St",2,"h",1310000,"S","Buxton","24/09/2016",10.7,3187,4,3,2,302,250,2018,"Glen Eira",-37.9182,145.0231,"Southern Metropolitan",6938,5
"118","Brunswick","2/3 Donald St",3,"h",680000,"PI","Nelson","4/06/2016",5.2,3056,3,3,1,81,100,2016,"Moreland",-37.7575,144.9647,"Northern Metropolitan",11918,7
"119","Brunswick","14 Murdock St",3,"h",976000,"S","Jellis","14/05/2016",5.2,3056,3,2,1,240,162,2005,"Moreland",-37.756,144.9587,"Northern Metropolitan",11918,18
"120","Brunswick","30 Lobb St",3,"h",740000,"PI","Nelson","28/05/2016",5.2,3056,3,2,1,4676,122,2010,"Moreland",-37.7687,144.9649,"Northern Metropolitan",11918,13
"121","Brunswick West","497 Albion St",5,"h",1350000,"SP","Woodards","7/11/2016",5.9,3055,5,2,2,510,321,1997,"Moreland",-37.7581,144.9414,"Northern Metropolitan",7082,26
"122","Brunswick West","2 Henderson St",7,"h",1205000,"S","Raine","15/10/2016",5.9,3055,7,3,1,447,287,1982,"Moreland",-37.7634,144.9403,"Northern Metropolitan",7082,41
"123","Bulleen","4 Albany Pl",4,"h",1303000,"SP","Barry","4/03/2017",11.8,3105,4,2,2,670,197,1980,"Manningham",-37.7695,145.0869,"Eastern Metropolitan",4480,43
"124","Bulleen","9 Albany Pl",5,"h",1490000,"S","Fletchers","7/11/2016",11.8,3105,5,3,2,796,304,1975,"Manningham",-37.7697,145.0871,"Eastern Metropolitan",4480,48
"125","Bulleen","23 Bourke St",4,"h",1302000,"SP","Barry","15/10/2016",11.8,3105,4,2,2,475,245,1996,"Manningham",-37.765,145.0933,"Eastern Metropolitan",4480,27
"126","Bulleen","7 Kampman St",4,"h",1300000,"S","McGrath","18/03/2017",11.8,3105,4,2,2,744,300,1985,"Manningham",-37.7791,145.086,"Eastern Metropolitan",4480,38
"127","Bulleen","14 Collins St",3,"h",990000,"PI","Barry","22/08/2016",11.8,3105,3,1,2,602,175,1975,"Manningham",-37.7674,145.0988,"Eastern Metropolitan",4480,48
"128","Bulleen","19 Barak St",4,"h",1100000,"PI","Barry","24/09/2016",11.8,3105,4,2,2,693,212,1975,"Manningham",-37.7743,145.0863,"Eastern Metropolitan",4480,48
"129","Burwood","7 Wattlebird Ct",4,"h",2e+06,"S","Fletchers","7/05/2016",11.7,3125,4,3,2,928,229,1996,"Whitehorse",-37.842,145.102,"Southern Metropolitan",5678,27
"130","Burwood","1/34 Cumming St",5,"h",1060000,"S","Ray","12/06/2016",11.7,3125,4,3,2,326,210,2013,"Whitehorse",-37.8528,145.1129,"Southern Metropolitan",5678,10
"131","Burwood","33 Brockhoff Dr",4,"h",1255000,"S","Buxton","12/11/2016",11.7,3125,4,2,2,438,210,2005,"Monash",-37.8599,145.1101,"Southern Metropolitan",5678,18
"132","Burwood","4 Iris St",5,"h",2150000,"S","RW","17/09/2016",11.7,3125,5,4,2,643,380,2014,"Whitehorse",-37.8454,145.0974,"Southern Metropolitan",5678,9
"133","Burwood","18 Brockhoff Dr",4,"h",1250000,"SA","Barry","24/09/2016",11.7,3125,4,2,2,499,220,2005,"Monash",-37.8593,145.1101,"Southern Metropolitan",5678,18
"134","Camberwell","3/107 Wattle Valley Rd",3,"h",1650000,"S","Marshall","3/12/2016",7.8,3124,3,2,2,305,189,1998,"Boroondara",-37.8365,145.0802,"Southern Metropolitan",8920,25
"135","Camberwell","4 Ada St",3,"h",2250000,"S","O'Donoghues","16/04/2016",7.8,3124,3,2,2,656,225,2009,"Boroondara",-37.841,145.0824,"Southern Metropolitan",8920,14
"136","Camberwell","18 Middle Rd",5,"h",2700000,"VB","Jellis","17/09/2016",7.8,3124,5,3,2,802,317,1994,"Boroondara",-37.8442,145.0578,"Southern Metropolitan",8920,29
"137","Camberwell","16A Waterloo St",3,"h",3300000,"S","Kay","25/02/2017",7.8,3124,3,3,2,417,220,2016,"Boroondara",-37.831,145.0621,"Southern Metropolitan",8920,7
"138","Camberwell","44 Athelstan Rd",5,"h",3320000,"SP","Weast","28/05/2016",7.8,3124,5,4,2,741,407,2009,"Boroondara",-37.8422,145.064,"Southern Metropolitan",8920,14
"139","Camberwell","2 Hazel St",5,"h",2125000,"PI","Marshall","28/05/2016",7.8,3124,4,3,2,603,282,1980,"Boroondara",-37.8437,145.069,"Southern Metropolitan",8920,43
"140","Camberwell","532 Burke Rd",4,"h",2e+06,"VB","Noel","28/08/2016",7.8,3124,4,3,4,697,271,1980,"Boroondara",-37.836,145.056,"Southern Metropolitan",8920,43
"141","Camberwell","9 Derby St",5,"h",2250000,"PI","Marshall","28/08/2016",7.8,3124,5,5,1,639,453,2010,"Boroondara",-37.8303,145.0668,"Southern Metropolitan",8920,13
"142","Camberwell","20 Kirkwood Dr",5,"h",2740000,"S","Fletchers","28/08/2016",7.8,3124,4,2,2,643,363,2005,"Boroondara",-37.8421,145.0719,"Southern Metropolitan",8920,18
"143","Canterbury","1b Daphne St",3,"h",928000,"S","Fletchers","10/09/2016",9,3126,3,2,1,145,140,1998,"Boroondara",-37.8233,145.0769,"Southern Metropolitan",3265,25
