loan_amnt,loan_percent_income,person_emp_length,loan_int_rate,loan_grade
9100,0.12,19.0,6.03,A
6400,0.19,2.0,6.0,B
10000,0.13,4.0,6.62,A
14400,0.24,4.0,8.9,A
8000,0.13,4.0,11.48,B
15000,0.38,0.0,9.64,B
7000,0.05,11.0,10.59,B
10000,0.18,4.0,10.37,B
8300,0.17,5.0,8.9,A
6000,0.11,2.0,12.73,C
10000,0.23,11.0,12.42,B
20000,0.27,4.0,11.48,B
4800,0.09,8.0,6.92,A
10000,0.23,7.0,10.74,B
5550,0.07,8.0,8.49,A
7000,0.07,5.0,6.92,A
5000,0.17,3.0,9.25,B
4000,0.33,0.0,10.65,B
3500,0.13,6.0,8.49,A
25000,0.31,6.0,6.62,A
6000,0.1,5.0,6.91,A
10000,0.15,5.0,12.42,B
7000,0.29,4.0,6.92,A
8000,0.19,0.0,13.61,C
5000,0.07,6.0,6.03,A
3400,0.03,1.0,12.21,B
6000,0.19,10.0,15.23,C
9000,0.14,3.0,11.86,B
15000,0.31,5.0,11.99,B
10000,0.31,0.0,10.59,B
6475,0.26,4.0,9.91,B
5500,0.11,3.0,13.49,C
6600,0.19,0.0,8.59,A
15000,0.27,1.0,11.26,B
8500,0.08,0.0,7.51,A
14000,0.27,4.0,14.27,C
8400,0.17,2.0,7.29,A
17600,0.13,1.0,12.42,B
5000,0.06,6.0,5.42,A
14000,0.39,5.0,7.51,A
6600,0.09,0.0,10.99,B
2200,0.03,10.0,13.43,C
10800,0.09,0.0,14.65,C
7000,0.39,1.0,10.65,B
12000,0.17,5.0,12.68,C
5000,0.06,5.0,14.26,C
10000,0.13,13.0,12.73,C
2000,0.08,4.0,10.99,B
7500,0.19,0.0,11.86,B
6000,0.16,1.0,12.87,C
12000,0.19,0.0,13.49,C
3200,0.06,5.0,9.88,B
2500,0.12,2.0,9.63,B
14000,0.15,10.0,6.03,A
3600,0.04,6.0,7.9,A
4000,0.08,0.0,14.65,C
5000,0.15,2.0,10.65,B
17500,0.36,12.0,12.18,B
2800,0.06,0.0,10.59,B
10000,0.29,1.0,11.26,B
5000,0.21,3.0,6.92,A
5600,0.13,8.0,7.49,A
8000,0.12,8.0,7.49,A
4200,0.11,4.0,11.11,B
2000,0.04,2.0,11.86,B
12000,0.12,15.0,14.26,C
7000,0.11,1.0,8.49,A
35000,0.28,1.0,14.27,C
10000,0.11,4.0,8.59,A
6000,0.15,9.0,9.7,B
8000,0.15,3.0,10.99,B
13025,0.33,1.0,10.14,B
6000,0.31,2.0,11.99,B
9925,0.21,6.0,9.63,A
15825,0.31,10.0,6.99,A
6400,0.1,2.0,8.49,A
25000,0.36,9.0,6.99,A
6000,0.17,4.0,5.99,A
10000,0.11,3.0,7.88,A
35000,0.28,5.0,7.9,A
10000,0.31,5.0,11.71,B
5375,0.11,5.0,7.49,A
3200,0.09,0.0,7.49,A
8000,0.11,8.0,6.17,A
10000,0.13,1.0,9.2,B
7750,0.14,5.0,10.38,B
10000,0.33,17.0,5.79,A
11000,0.09,9.0,12.18,B
8000,0.16,4.0,6.62,A
2400,0.05,0.0,7.88,A
8000,0.16,8.0,6.76,A
4800,0.18,1.0,7.51,A
5000,0.12,5.0,7.74,A
5750,0.17,1.0,10.75,B
25000,0.15,4.0,9.91,B
5000,0.17,0.0,10.33,B
4000,0.05,9.0,7.88,A
2000,0.01,4.0,8.59,A
7500,0.08,0.0,10.39,B
3500,0.05,2.0,13.22,C
7500,0.06,1.0,12.29,C
4000,0.11,5.0,10.99,B
4500,0.06,12.0,6.62,A
6000,0.09,0.0,9.63,A
24250,0.27,5.0,10.62,B
24000,0.37,6.0,11.83,B
2500,0.06,5.0,13.49,C
15000,0.27,14.0,8.49,A
5000,0.2,2.0,9.62,B
7200,0.07,17.0,14.35,C
7000,0.11,12.0,12.98,C
16000,0.23,9.0,12.18,B
4500,0.05,0.0,10.99,B
8000,0.24,12.0,14.65,C
5000,0.13,11.0,9.91,B
14000,0.16,7.0,6.03,A
6500,0.22,4.0,14.27,C
16000,0.08,0.0,10.91,C
10000,0.02,8.0,7.88,A
9000,0.08,2.0,7.51,A
16950,0.23,3.0,10.37,B
12000,0.34,7.0,12.42,B
3200,0.08,12.0,5.42,A
14700,0.09,9.0,13.43,C
15000,0.3,3.0,9.88,B
1700,0.04,2.0,14.72,C
2500,0.16,5.0,6.03,A
5600,0.11,5.0,7.49,A
4600,0.1,5.0,5.42,A
15600,0.38,4.0,12.87,C
4800,0.14,0.0,8.9,A
4200,0.12,1.0,10.99,B
25000,0.04,14.0,12.18,B
10000,0.25,5.0,13.49,C
5100,0.18,6.0,11.89,B
8000,0.07,8.0,6.76,A
6000,0.14,3.0,9.99,B
12000,0.11,1.0,7.49,A
2800,0.06,4.0,7.49,A
6000,0.24,8.0,6.62,A
6000,0.11,1.0,10.74,B
6400,0.1,4.0,13.23,C
12000,0.13,5.0,7.88,A
30000,0.2,9.0,8.9,A
2100,0.02,2.0,9.91,B
7000,0.15,12.0,11.36,B
10000,0.25,5.0,11.99,B
20000,0.28,4.0,12.21,B
15000,0.21,7.0,7.51,A
8000,0.21,7.0,6.03,A
9000,0.2,1.0,11.71,B
15350,0.19,14.0,8.49,A
6000,0.17,2.0,7.49,A
5900,0.1,6.0,11.12,B
3000,0.04,11.0,5.42,A
6600,0.16,1.0,8.0,A
3000,0.04,1.0,14.27,C
9000,0.19,7.0,8.94,A
7500,0.27,7.0,7.74,A
10000,0.24,4.0,10.75,B
6000,0.09,6.0,5.42,A
20000,0.13,3.0,13.47,C
15000,0.24,8.0,9.45,B
5500,0.11,2.0,8.32,A
8000,0.27,0.0,9.91,B
4000,0.12,9.0,7.9,A
8575,0.16,0.0,14.65,C
24000,0.31,24.0,13.49,C
12000,0.17,5.0,10.62,B
6625,0.14,13.0,8.49,A
4800,0.02,4.0,13.57,C
4000,0.2,2.0,12.18,B
4000,0.08,7.0,13.99,C
2500,0.07,9.0,12.53,B
6000,0.09,5.0,10.99,B
2500,0.05,6.0,14.35,C
15000,0.52,10.0,10.0,B
15000,0.42,2.0,7.66,A
8400,0.2,2.0,13.49,C
10000,0.21,13.0,7.51,A
12000,0.31,9.0,10.38,B
